Document,Cluster,PC1,PC2
AI_The_Hermit,0,-3355.8324403019797,162.19691118600758
AI_The_Invention,0,-3356.8523709479487,162.71388709704328
HenryWP_ThePirate,0,-3155.9141051073425,190.69479334391474
HenryWP_ThePirate_Short,0,-3355.6710291882655,164.26234398140568
Irving_RipVanWInkle,0,-2660.044424962115,92.98027451833738
Lippard_BelOfPrairieEden,0,1259.1779899972148,-1089.9062912841646
Melville_MobyDick,1,17182.08489419396,236.7875720014882
Poe_FallOfHouseUsher_1839,0,-2556.9485136835383,80.27050915596718
